id,title,slug,description,featured_image,page_title,page_keyword,page_description,allow_comments,categories,visibility,created_at,updated_at,legacy_id
1,"How to Troubleshoot your Vanagon for ""Hot Foot"" Syndrome",troubleshoot-your-vanagon-for-hot-foot-syndrome,"<p>How-to stop heat from coming out of the lower vents</p>
<p>You just bought your van and you are ready for a great summer of fun. Your A/C is recharged or you are ready to crank down those windows and use the 2-60 A/C (2 windows at 60 mph ? when you feel that something isn&#8217;t quite right. You head is cool but your feet are warm, no downright hot! Hot air is coming out of the lower vents in your 82-91 watercooled Vanagon (diesel included). What do you do?</p>
<p>Your problem could be:</p>
<ol>
<li>Your heater valve isn&#8217;t closing all the way (linkage is broken or out of adjustment).</li>
<li>Your heater valve is leaking (it is closed but you are still getting hot air).</li>
</ol>
<p>The first step is to see what is going on. Put the heater valve in the full closed position (2nd lever down, and move it all the way to the left). Now check the position of the lever on the valve. The diesel Vanagons have the valve conveniently located behind the glove box. Simply open the glove box and allow it to flop to the floor and you will see it. The waterboxer Vanagons have this valve less conveniently located under the van over the spare tire. Remove the spare tire and crawl under on your back. Now look up. See it?</p>
<p>The lever should be all the way at the end of its travel. Try to move the lever with your hand. If it moves some more then your linkage is either out of adjustment or bent (happens alot). If it feels like it could move more but the cable is holding it back then the linkage is out of adjustment. You can temporarily move the valve to the shut off position and if this stops the heat then you will not have heat until the next time you move the lever and then the heat will remain on again. This is a temporary fix as you don&#8217;t want to have to crawl around under the van every time you want to shut off the heat.</p>
<p>How do you adjust your linkage? Remove the instrument cluster. You will see a screw holding a clip which in turn holds the cable that goes to your heater. Put the heater valve at full closed. Loosen the screw and move the cable housing (black rubber) until you take up the slack in the cable (make take some experimenting to get this right) and retighten the screw. Now move the slider to full heat and back again. Did your valve move to full closed? If so then you have fixed your problem. If not then try again and if you cannot fix it then your cable is probably bad (bent in the past).</p>
<p>If you see that your cable is bent then this is obviously your problem and you should stop fooling around and buy a new cable as the bent one will never be right again.</p>
<p>If everything seems to be moving and closing properly, and you still have heat, then the valve is leaking internally and must be replaced. Use a couple of small wood clamps and some pieces of plastic or wood to clamp the hose before and after the valve (to keep coolant loss to a minimum). Now remove the old valve and put in the new one (hook the linkage before you install the valve on the hoses as this is easier). Test linkage and adjust if neccessary. Voila, c&#8217;est fini!</p>
<p>Now you can happily drive across the US without your toe hair becoming singed ?</p>
<p>I have the parts to do this work available:</p>
<p>Heater valve is PN 171819809E</p>
<p>Heater valve control cable is PN 251265473A</p>
<p><a href=""/shop"">Buy these parts at our on-line store by clicking here or calling us</a>.</p>
<p>I hope this is helpful to folks!</p>
",,"How to Troubleshoot your Vanagon for ""Hot Foot"" Syndrome","How to Troubleshoot your Vanagon for ""Hot Foot"" Syndrome","How to Troubleshoot your Vanagon for ""Hot Foot"" Syndrome",1,"2,4",1,Fri Aug 06 2004 03:54:42 GMT-0400 (Eastern Daylight Time),Sat Nov 01 2014 09:05:30 GMT-0400 (Eastern Daylight Time),1
2,The Truth about Vanagon Heads and Head Gasket Replacement,vanagon-heads-and-head-gasket-replacement,"<p>Of course the Head Gasket is the bugger boo of Vanagon ownership. Much has been made of how unreliable the Vanagon is because of the head gaskets have a tendency to leak over time. However with regular maintenance you can extend the life span of your head gaskets to 100k miles or more. </p>
<p>The first tip I will give you is to regularly change your coolant or at least add a coolant renewal to the coolant system every two years. You can buy a coolant renewal fluid from NAPA. Over time the corrosion inhibitors break down. Refreshing your coolant every couple of years is really needed in every vehicle that is on the road. However it is more critical with an all aluminum engine like the water boxer.</p>
<p>If you see a puddle of coolant under the van or see hanging drops on the bottom of the engine you should do an inspection of the head gaskets right away. Remove the push rod tube covers on either side and look at the bottom of the heads. Again if you are having a leak you will see some drops hanging or some crust that is colored the same as the coolant.  If you are having just a very minor leak (like a seep) you can try to seal this seep with some stop leak sealer. Bar&#8217;s Leak sells a good stop leak sealer that can temporarily seal small seeps. Usually this type of patch will last for several months to a year. However to properly fix this problem you will need to replace the gaskets at some point.</p>
<p>When you decide that it is time to do the head gasket replacement, getting the proper parts is one of the most critical part of the job. We sell only the best engine gasket kits made by Erling and Victor Reinz. These kits come with all of the gaskets you need and also both sealants you are going to need.</p>
<p>Another thing that I have found is that many times the heads also need to be replaced. I know much is made of cleaning up the pitting in the sealing surfaces with and repairing these with JB Weld. However if you have cracks between the valves this cannot be repaired with JB Weld. Whenever I find a head with a crack between the valves, I replace it with a new one. The cracks may test OK with a pressure test, however after the heads are reinstalled they will quickly get wider and can cause premature head failure. Rebuilt heads are generally no good in my opinion because they take bad heads that are cracked and severely pitted, and they weld all of the problem areas so that they look good and then sell the heads. The welded areas between the valves have even more stress than they ever did because of the welding. So they crack very soon after they are installed. </p>
<p>We sell brand new heads made by AMC that come with new valves and springs installed. These are great heads and I have installed more sets than I can count. I have never had any problems with any of them or the valves that they come with. They have re-engineered the heads with an updated alloy that better resists the infamous pitting problem, and they have thickened certain areas that were prone to cracking. All in all a superior product that is better than the original. </p>
<p>I know some sites tout their heads as superior and charge extra money for â€œbetterâ€ valves.  However I have never had any problems with the valves that come stock with the AMC heads and I have been installing them in customerâ€™s vans and my own personal vans for over 11 years now.  In my opinion, why pay extra money to fix a problem that doesnâ€™t exist.  I feel perfectly confident selling and installing the AMC heads as I have had such great reliability out of them over the years.  No product is perfect and I am sure there have been defective ones, however I can say that I have never seen one and that is a good enough track record for me.</p>
",,The Truth about Vanagon Heads and Head Gasket Replacement,The Truth about Vanagon Heads and Head Gasket Replacement,The Truth about Vanagon Heads and Head Gasket Replacement,1,"4,6",1,Thu Aug 06 2009 04:02:09 GMT-0400 (Eastern Daylight Time),Wed Aug 06 2014 04:03:31 GMT-0400 (Eastern Daylight Time),2
6,How to troubleshoot a Vanagon that won't start,how-to-troubleshoot-a-vanagon-that-wont-start,"<p>Help my 2.1l Vanagon has fallen on it&#8217;s face and it can&#8217;t get up!</p>
<p>A Vanagon Stalls and Won&#8217;t Start.</p>
<p>I have had people email me with this problem about a million times so I finally decided to do a web page about the proper proceedure to get your van up and running again. </p>
<p>GOT GAS? </p>
<p>First of all, do you have gas in the tank? Please, you don&#8217;t know how many times people call me, I ask them this question and they get really quiet for a minute. Don&#8217;t overlook the obvious! </p>
<p>If you know you have gas in the tank the next thing you want to do is to start to troubleshoot the reasons for the engine not starting. You are looking at six possible causes. </p>
<ol>
<li>Lack of Spark</li>
<li>Lack of Fuel</li>
<li>Lack of Compression</li>
<li>Lack of Fresh Air (Intake Blocked)</li>
<li>Lack of Exhaust flow (Exhaust Blocked)</li>
<li>Improper Timing</li>
</ol>
<p>If your van was running just a short time ago, and died suddenly, you can almost certainly rule out number 6. Really that is only a possibility if you have just disturbed the timing in some way. If you haven&#8217;t please DON&#8217;T TOUCH the distributor and change the timing. If you do you will be sorry! Now you have just &#8220;muxed up&#8221; (technical term for bollocks) something else that you will have to fix before the engine will start.</p>
<p>Also lack of compression (3) is a very rare thing to happen without plenty of other bad things happening before the van will no longer start. Again this is something you should investigate as a last resort after you have checked everything else. </p>
<h3>1. Lack of spark:</h3>
<p>Let&#8217;s start then with Lack of Spark as the normal, number one culprit to vans stalling and not restarting. This can be caused by a number of reasons however we first want to confirm that this is what is happening and then we can looking into why. Remove all of your spark plugs and visually inspect them. Do they look damaged or really sooty? Is the center electrode worn down to the same level as the edge of the threaded part? If so you should either clean or replace your plugs and see what happens. Your plugs can become fouled by a rich running condition or oil filled oil (don&#8217;t do this either!) and the van will never start. If your plugs look good, then move on to the next step which is to test for spark.</p>
<p>You can check your spark by unplugging all of the fuel injector plugs and then removing a spark plug, grounding this plug to the engine while the wire is attached and cranking the engine over. This will allow you to test spark without the injectors spraying. You want to see a bright white spark several times in a row. If you have spark then you can test the injectors by grounding the center coil wire to the engine and plugging all of the fuel injector plugs back in. Remove the small 10mm bolts between the injectors and they will lift out of the intake. Put a small pan under them and either have someone crank over the engine or use a remote starter but be sure that your ignition key is in the &#8220;on&#8221; position or the injectors will not spray. You want to see a cone shaped pattern. If you aren&#8217;t seeing any spray remove the bolt that closes up the test port on the fuel lines (by the distributor on the center of the top of the engine). Clamp a hose to this test port and put one end of the hose into a jar that way you are safe from gas spills.Now just turn the key and see if you get gas out of here. </p>
<h3>2. Lack of Fuel</h3>
<p>If you aren&#8217;t getting any gas then you need to check your fuel pump and filter.</p>
<p>Causes for no spark:</p>
<p>ECU</p>
<p>Hall Effect Generator (in distributor)</p>
<p>Coil.</p>
<p>Of the three I have ranked them in their order of most failures to least.</p>
<p>If you aren&#8217;t getting any spray at the injectors but you do have fuel pressure then it could be:</p>
<p>ECU</p>
<p>Hall Effect Generator</p>
<p>Injectors clogged.</p>
<p>Again in order.</p>
<p>If your fuel pump isn&#8217;t working it could be:</p>
<p>Hall Effect Generator</p>
<p>Fuel Pump</p>
<p>Relay for Fuel pump</p>
<p>Ignition switch</p>
<p>Wiring to pump.</p>
<h3>4. and 5. Lack of Intake or Exhaust flow</h3>
<p>If you are getting spark and fuel and everything seems fine that way, check your cataytic convertor. I have seen these become so clogged that they will not allow any exhaust to leave the engine and thereby not let the engine run. You can have someone crank the engine over and put your hand by the tail pipe to see if you feel any air coming out while the engine is cranking. If not remove the three bolts between the cat and the connector pipe and try to start the van that way. If it starts then remove and replace the cat with a new one. Overfilling on oil or bad rings can cause this problem. Also check your intake by inspecting your air filter. There is a cardboard (you heard me right) tube that comes down from the plastic vent that is in the upper rear corner of the van on the same level with the rear window. This tube can collapse and block the intake air. Unhook the air box from it if you think it might be the culprit and if the van starts up then you know this is bad. You can either remove it or replace it with some drier hose from Home Depot (aluminum not card board please!).</p>
<p>3. Lack of compression.</p>
<p>I know this is number 3 and now it is the last to be considered but it is not common for you to lose compression and the engine to not start at all. Usually you will lose one cylinder and the engine will still start but run roughly. However it is possible so if all else fails, do a compression test on your engine You can buy a compression tester from Advance Auto or Auto Zone for not much money. Now disable the spark and unplug the injectors as we have already discussed. Screw the compression tester into a spark plug hole. Get someone to crank the engine over for 10 seconds while you watch the gauge. Draw a square on a piece of paper. That represents your engine. Now write down the compression numbers on the area of the square that corresponds to the cylinder you are testing.</p>
<p>The lower limit of compression in a Waterboxer is around 119 psi. However I have seen good running engines with around 95 psi so if you are getting a low reading don&#8217;t jump to the conclusion that this is your problem. If compression is the culprit you will see zero compression. That is the cylinder or cylinders that is causing the problem, investigate further.</p>
<p>This troubleshooting guide should help you narrow down the problem until you get down to just one or two choices of what the problem could be. Many times you can narrow down the problem to either the ECU or the Hall Effect Generator and it is difficult to figure out which one of these two is the culprit. I know that Bentley has a proceedure for the Hall Effect but I have never been able to get an accurate Pass or Fail out of this test. My normal test when I am confronted with these two choices is to swap in a known good ECU and see what happens. Many times it is the ECU that has failed and needs to be replaced. Any ECU from 86-91 will work in any other 2.1l Vanagon so if you have a friend nearby that is willing to let you borrow his ECU this is the best way to test. If you have to guess I would say that most of the time it is the ECU. However if the plug is broken off of the side of the distributor, I would lean more toward the Hall Effect generator as this is the failure mode for that part.</p>
<p>I have rebuilt ECUs on the shelf for $250 plus $100 core charge. I also have new Hall Effect Senders for $125 or rebuilt Bosch Distributors with new cap and rotor included for $259 plus a $77 core charge.</p>
<p>If you really appreciate this troubleshooting guide please make an effort to support Van-Again with your parts purchases. Nothing says &#8220;Thank You&#8221; like buying your parts from us! We sincerely appreciate your support.</p>
",,How to troubleshoot a Vanagon that won't start,How to troubleshoot a Vanagon that won't start,How to troubleshoot a Vanagon that won't start,1,"2,6,9,11,16",1,Wed Aug 06 2014 03:26:13 GMT-0400 (Eastern Daylight Time),Tue Nov 18 2014 21:38:43 GMT-0500 (Eastern Standard Time),6
7,How to inspect the rear brakes on a Vanagon,how-to-inspect-the-rear-brakes-on-a-vanagon,"<p>Getting ready to inspect rear brakes: </p>
<p>Anything having to do with the brake system is very dirty. You will at least want some latex gloves, brake cleaner and a pair of overalls to cover your clothes. You will get dirty. The first step in doing your rear brakes is to take the wheel off. Take a 19mm socket and break the lug nuts loose on the wheel that you want to remove. A 19mm socket with a large breaker bar is best. Next chock the front wheel on that side with a large block of wood or a brick. Release the emergency brake. Now jack up the rear of the van and finish removing the rear wheel. Once the wheel is off you will see the drum with two small 11mm bolts holding it in place. Remove these and now you can get the drum off. Many times the drum is stuck on there pretty good with rust, etc. Hitting with a hammer in the space between the lug studs in a side to side and up and down pattern should shock the drum loose. Usually after doing this for about 30 seconds you will see a puff of dust and the drum will be loose. If it is still stuck you might want to try some heat on the center of the drum with a small torch if you have one. Once the drum is off you can spray everything down with brake cleaner so that you can see what is going on in there. </p>
<p>Drum Inspection: Inspect your drum around the edge where the brake shoes touch. Is the drum smooth or does it have lines and is rough to the touch? You want a smooth drum. If you are in doubt take your drum to a local machine shop where they can check to see if it is worn out (inside diameter wear limit is stamped on your drum it is 253mm or 9.960 inches) and also machine it smooth again. A brand new drum will be needed if your old one cannot be machined. With brakes a rule of thumb is that you should always replace brake parts in pairs. If you need a new drum on one side, then you should replace both at the same time. </p>
<p>Rear Wheel Cylinder Inspection: Next inspect the rear wheel cylinder. Pull the boots back one at a time and look under them. It should be totally dry under the boots. They do not keep fluid in, the only keep dust from getting in this area. If it is juicy looking under one of the boots then the rear wheel cylinder is bad and should be replaced immediately. </p>
<p>Brake Shoe Inpsection: Next take a look at the shoes. Any wear will be at the top half of the shoes. One shoe only does the emergency brake so this normally doesn&#8217;t show much wear. Look at the one toward the front of the van. This one is doing the stopping work when you push the brake pedal. The original thickness should be 6mm (a little less than a 1/4&#8243;). The wear limit is 2.5mm (a little more than a 1/16th of an inch). If you can see that the rivets that hold the pads on have been touching the drum even just a little then you know that the shoes need to be replaced.</p>
",,How to inspect the rear brakes on a Vanagon,How to inspect the rear brakes on a Vanagon,How to inspect the rear brakes on a Vanagon,1,"2,3",1,Wed Aug 06 2014 03:27:05 GMT-0400 (Eastern Daylight Time),Wed Aug 06 2014 04:23:48 GMT-0400 (Eastern Daylight Time),7
10,How to Change Front Brake Pads ('86-91 Vanagon),change-front-brake-pads-vanagon,"<p>How To Change Front Brake Pads (&#8217;86-91 Vanagon)</p>
<p>A quick how-to on changing brake pads on Vanagons with Girling Calipers (&#8217;86-91 including Syncro).</p>
<p>Place van on level, hard surface<br />
Chock the rear wheels or put on the emergency brake or put it in park.<br />
Jack up van (I used the jack that came with the van)<br />
Remove the wheel.<br />
Remove upper Caliper bolt that is on the backside of the caliper (hold guide pin with 17mm wrench and remove bolt with 13mm wrench).<br />
 Loosen lower caliper bolt<br />
Swing caliper down out of the way.<br />
Remove old brake pads.<br />
Crack caliper bleeder screw. (7mm wrench)<br />
Use a clamp to compress caliper piston (a 6&#8243; wood clamp will work by placing the body of the clamp against the back of the caliper and the screw side against the rim of the caliper piston. Now tighten the clamp until the piston is almost completely compressed- brake fluid will squirt out so have something to collect it with).<br />
Before removing the clamp, close the bleeder screw (this minimizes the amount of air that gets into the system).<br />
Place new pads in place of old ones.<br />
Swing the caliper back over and align with guide pin.<br />
Reinstall guide pin bolt and tighten (see Bentley for Torque Values)<br />
Replace wheel<br />
Lower van<br />
Do brakes on the other side in the same manner<br />
Lower the van<br />
Fill the brake reservoir to Max.(You will find the reservoir under your instrument cluster cover.)<br />
Bleed the brakes (have someone pump up the brakes and hold the pedal down. Crack the brake bleed screw on the caliper and you will hear the air and brake fluid squirting out. Have something to catch it in or you will have a mess on your hands. Now with your friend still holding the pedal down close the bleed screw. Repeat this process as many times as is needed to remove all air from the system. Repeat on the opposite side caliper.)<br />
Fill the brake reservoir to Max.</p>
<p>Do this at your own risk, disclaimer, legal blah, blah, blah.</p>
<p>I crack the brake bleeds and compress the caliper rather than just compressing the caliper piston in order to prevent crap from being forced back up into the brake master cylinder. If you don&#8217;t do it this way you could be killing your master cylinder.</p>
<p>We have a full line of brake parts for the Vanagon. If you appreciate the information we have provided please support us with your purchases.</p>
",,How to Change Front Brake Pads ('86-91 Vanagon),How to Change Front Brake Pads ('86-91 Vanagon),How to Change Front Brake Pads ('86-91 Vanagon),1,"2,3",1,Wed Aug 06 2014 03:44:10 GMT-0400 (Eastern Daylight Time),Wed Aug 06 2014 04:23:29 GMT-0400 (Eastern Daylight Time),10
12,How to Troubleshoot your Radiator Fan System (83.5-91 non-diesel Vanagons),troubleshoot-your-radiator-fan,"<p>How-to, very simply, trouble shoot the Radiator Fan system on 83.5-91 watercooled (non-diesel) Vanagons.</p>
<ol>
<li>Remove lower grille</li>
<li>Unplug the radiator fan temp switch plug on the front of the radiator</li>
<li>Make a short jumper wire out of some 10-14 gauge wire</li>
<li>Plug the jumper between two of the holes in the plug (there are three) until the fan comes on. (I forget which holes but you can figure this out easy).</li>
<li>When the fan comes on, try swapping one end of the wire out into the other hole until you get the second speed working.</li>
<li>You should be able to have two speeds (low and high and you will be able to tell the difference as high is like huricane force).</li>
<li>If the two speeds are working then everything in the wiring is good (fan, relays, wires, plugs etc).</li>
<li>If only the high speed is working then your radiator fan resistor is bad and needs to be replaced. We have these in stock just give us a call. </li>
<li>Now run your van up to temperature.</li>
<li>Not far past the center on your coolant temp gauge (to the left of the LED) the fan should come on low.</li>
<li>If the fan comes on, then you should be OK. I don&#8217;t think you can get the van hot enough to check the higher speed just with the van idling.</li>
<li>If the fan doesn&#8217;t come on at all or only the high speed comes on at a higher temperature then your radiator fan sending unit is bad and must be replaced.</li>
<p>This is just a simple trouble shooting plan for this system but it works well and will tell you in a very short time exactly what your problem is and how to fix it.</p>
<p>Hope this helps,<br />
Ken Wilford<br />
John 3:16</p>
",,How to Troubleshoot your Radiator Fan System (83.5-91 non-diesel Vanagons),How to Troubleshoot your Radiator Fan System (83.5-91 non-diesel Vanagons),How to Troubleshoot your Radiator Fan System (83.5-91 non-diesel Vanagons),1,"2,4",1,Wed Aug 06 2014 03:48:52 GMT-0400 (Eastern Daylight Time),Wed Aug 06 2014 04:23:20 GMT-0400 (Eastern Daylight Time),12
13,How to Replace your ignition switch (all year and model Vanagons),replace-your-ignition-switch,"<p>How-to Replace the ignition switch on a Vanagon:</p>
<p>I sell the ignition switch for the Vanagon <a href=""https://www.vanagain.com/shop/ignition-switch-111905865l/"">here</a>.</p>
<p>Here is how to remove and replace the switch.</p>
<ol>
<li>Unscrew the two retaining screws for the bottom steering column cover and remove it.</li>
<li>Pop the cover off of the center of the steering wheel unplugging the two horn wires.</li>
<li>Undo the nut that holds the steering wheel on (a large one- 24mm?).</li>
<li>Mark the steering wheel in the center with a paint mark or score mark and remove it.Â  You are marking it so you can put it back in the exact same orientation.Â  The steering wheel can come off without a puller tool.Â  Just give it a small pull with your hands and it will come right off.</li>
<li>Reach around the column and unplug the plugs for the ignition switch and the wiper, blinker switch, etc.</li>
<li>Insert your key into the ignition and turn it to &#8220;on&#8221; position.</li>
<li>Undo the allen bolt that holds the ignition switch housing to the column.</li>
<li>Undo the three slotted screws that hold the blinker/wiper arms to the assembly and remove the arm assembly.</li>
<li>There is a plastic spacer on the center steering shaft.Â  Pry that up towards you with a flat head screw driver until you can remove it (just pulls off but it can be a little tight).</li>
<li>Pull the ignition switch housing off of the steering column.</li>
<li>Ignition switch will become accessible now with a small Philips head screw driver from the rear.</li>
<li>Reinstallation is reverse of removal ?</li>
</ol>
<p>Have fun.<br />
If anyone has anything to add <a href=""/contact"">please email me</a>.<br />
Ken Wilford<br />
http://www.vanagain.com<br />
John 3:16<br />
Phone: (856)-327-4936</p>
",,How to Replace your ignition switch (all year and model Vanagons),How to Replace your ignition switch (all year and model Vanagons),How to Replace your ignition switch (all year and model Vanagons),1,"2,11",1,Wed Aug 06 2014 03:50:59 GMT-0400 (Eastern Daylight Time),Mon Oct 09 2017 16:51:05 GMT-0400 (Eastern Daylight Time),13
14,"How to Troubleshoot your Vanagon for ""Bucking"" or Loss of Power Syndrome",troubleshoot-your-vanagon-loss-of-power-syndrome,"<p>Why does my Vanagon Buck or Miss and lose power?</p>
<p>Many Vanagons experience a similar problem of bucking, rich running and power loss. This page is to help troubleshoot this problem and determine it&#8217;s cause so that it may be corrected.</p>
<p>1. Any and all normal wear items should be checked and replaced if they have excessive wear on them. Spark plugs, plug wires, distributor cap, rotor, fuel filter, oxygen sensor and air filters should all be checked first. If you can eliminate these normal wear items from being a possible source of your problem then you can move on to the next step.</p>
<p>2. After eliminating these relatively cheap wear items as a possible cause of your problem then the next step is to check all of the engine grounds. These are located on the driver&#8217;s side head. There should be several small ground straps attached to the head along with a larger ground strap that goes from the head to the firewall under the coil. All of these straps should be there, and the connections should be clean and tight. If this doesn&#8217;t fix your problem go to the next step.</p>
<p>3. Next check your ignition switch. There have been times when these have failed intermittantly. Usually a large key chain that is heavy with keys can cause premature failure of this switch. These are only $9 from me and easy to test if they are bad. Simply unfasten the lower cover on your steering column and remove it. Now unplug the black plug that hooks into your ignition switch. Plug in the new switch and start the car using a screw driver (be sure your key is in the ignition and to the &#8220;on&#8221; position or you won&#8217;t be able to steer the van). Now drive the van in similar situations where you were having your bucking problem. If they reoccur then you have ruled this switch out.</p>
<p>4. The next step is to trouble shoot your fuel injection system per the Bentley Manual. The tool you need to do this is a multimeter which can easily be had for $30 from your local Radio Shack. The things that commonly go bad to cause the engine bucking syndrome are:</p>
<p>The Air Flow Meter (located on the plastic air box)</p>
<p>The temperature II Sender (located in the thermostat housing and it has a blue connector on it).</p>
<p>The throttle position switch (located on the throttle valve).</p>
<p>If you need a Bently Manual in order to get the charts to troubleshoot you FI system I have these for sale (part number is LPV800148 in my online store). I could also fax these pages to you if you agree to buy whatever parts you find you need from me. If so please email me with the year of your Vanagon. I encourage you to buy the manual as you will need it for many other things down the road and it is a good investment.</p>
<p>It is possible that you have a problem with some expensive item like your ECU or distributor. If you have ruled out everything else then you can feel better about purchasing a new or rebuilt one of these expensive items. I sell rebuilt ECUs and also new distributors or just the hall unit (which can be replaced in your exsisting distributor). Email or call me at (856)-327-4936 if you need help.</p>
<p>I hope you find this page helpful. If you do please support Van-Again with your parts purchases.</p>
<p><a href=""/shop"">Click Here to look up these Vanagon parts in the On-Line Store</a>.</p>
",,"How to Troubleshoot your Vanagon for ""Bucking"" or Loss of Power Syndrome","How to Troubleshoot your Vanagon for ""Bucking"" or Loss of Power Syndrome","How to Troubleshoot your Vanagon for ""Bucking"" or Loss of Power Syndrome",1,"2,9,16",1,Wed Aug 06 2014 03:52:40 GMT-0400 (Eastern Daylight Time),Tue Nov 18 2014 21:39:00 GMT-0500 (Eastern Standard Time),14
15,How to Stop your Oil Light from Flickering at idle,stop-your-oil-light-from-flickering,"<p>How to stop that Flickering oil light.</p>
<p>You just bought your Vanagon after test driving it and being pleased with how it drove and everything seems great. Then you take the first trip over 30 mins and come to a stop sign. The red light next to the &#8220;oil can&#8221; picture starts to flicker while you are at idle. After the ambulance arrives and EMTs revive you, the next thing you have to figure out is why that oil light is flickering. Here are some common causes of oil light flicker:</p>
<h3>1. Wrong oil filter</h3>
<p>The Vanagon is picky about which oil filters it likes and which ones it doesn&#8217;t. Actually there are only two that I would recommend (which I also sell) and these are either Mahle, or Mann. Both of these are made to the spec of the VW dealer filters (Mann actually makes the dealer filters) and will actually help your van in two ways.</p>
<p>One, these filters have an anti-drain back valve that helps prevent the oil from draining out of the motor after the engine is shut off. This helps the oil pressure to come up quicker on start up and prevents lifter clatter. Less wear on the engine at start up (this is a good thing).</p>
<p>Two, these filters have smaller holes in the filter material than cheaper filters. This gives you a higher, indicated oil pressure and helps keep that oil light off.</p>
<p>Bad filter list includes: Fram, Bosch (don&#8217;t hurt me they aren&#8217;t good), anything white, or yellow. Think Black when you think oil filter.</p>
<h3>2. Wrong Oil</h3>
<p>If your van has some mileage on it, it is possible that your oil pressure is a little low (nothing to really worry about yet) and I suggest using a slightly higher viscosity oil in the engine. 20w-50 oil Castrol GTX or something similar (I wouldn&#8217;t use Pennsoil or any oil that says it comes from Pennsylvania stock as this oil has a sludging problem).</p>
<p>If these first two don&#8217;t work.</p>
<h3>3. Sticky Valve</h3>
<p>You could have a sticky oil pressure relief valve. This valve is located in the bottom of the engine. You have to remove a large slotted screw from the bottom of the motor (all of the oil will come out of the engine when you do this). Also a spring and a valve will drop out of the engine. Clean up the valve with some scotchbrite and brake cleaner and clean up the hole that the valve rides in as well. Some folks have had good luck with stretching the spring a little or buying a new one from the dealer but I can only say &#8220;Try this at your own risk&#8221;.</p>
<h3>4. Bare Wire</h3>
<p>The wiring going to the oil pressure sender could have a bare spot on it and be touching the engine somewhere. Inspect the wire going from the sender to the firewall and if you see any spots on it that look suspect, replace the wire with a new one.</p>
<h3>5. LOW PRESSURE!</h3>
<p>You could actually have a low oil pressure condition! I would buy a cheap oil pressure gauge at your local parts store and install it in the bottom of the motor in place of the stock the oil pressure sender. Check the oil pressure with the engine idling and let it warm up to hot (the only down side to this setup is that you can&#8217;t check the oil pressure going down the road). The pressure should be above 19 psi at 2000 rpms and above 3 psi at idle. If the pressure is lower then you do have a low oil pressure condition and your engine is in need of a rebuild.</p>
<p>I hope this is helpful to you.</p>
<p>Note: This page applies to any Vanagon from 83.5-91 with the flickering oil light. If you are having the flashing oil light along with the buzzer this is a different problem which I will address on another page.</p>
",,How to Stop your Oil Light from Flickering at idle,How to Stop your Oil Light from Flickering at idle,How to Stop your Oil Light from Flickering at idle,1,"2,6,16",1,Wed Aug 06 2014 03:57:13 GMT-0400 (Eastern Daylight Time),Wed Aug 06 2014 04:23:07 GMT-0400 (Eastern Daylight Time),15
17,"How to Install a ""Wet"" Oil Pressure Gauge on a Vanagon",install-a-wet-oil-pressure-gauge,"<p>I bought a generic oil pressure gauge from FLAPS and then I went to Napa to get 20&#8242; of plastic oil line (I used at least 15 feet!). I set up a &#8220;T&#8221; using a 2 1/2&#8243; piece of threaded pipe and a &#8220;T&#8221; fitting. The pipe and &#8220;T&#8221; fitting are heater parts and can be got from any local heater place. I wrapped all my threaded ends with Teflon tape (if you use Teflon tape be careful not to wrap the first couple of threads as the threads could cut up the Teflon into little pieces and these pieces could cause problems inside the motor). I threaded the pipe into the sender hole (the one of the bottom of the motor between cylinder #3 and #4) and then threaded the &#8220;T&#8221; fitting onto the pipe. In the two other sides of the &#8220;T&#8221; fitting I put the sender and the oil line. I did all this with no cutting, drilling. Then I ran the oil pipe up the bottom of the van and tie wrapped it up all the way to the front. There I followed the speedometer cable right up into the dash. Then I ran the line out through the steering column plastic cover. I didn&#8217;t want to do any drilling, so I attached the oil pressure gauge to the plastic steering column cover with a tie wrap. Now I can look down through the steering wheel and check my oil pressure any time I want.</p>
",,"How to Install a ""Wet"" Oil Pressure Gauge on a Vanagon","How to Install a ""Wet"" Oil Pressure Gauge on a Vanagon","How to Install a ""Wet"" Oil Pressure Gauge on a Vanagon",1,"2,6",1,Wed Aug 06 2014 04:00:01 GMT-0400 (Eastern Daylight Time),Wed Aug 06 2014 04:22:59 GMT-0400 (Eastern Daylight Time),17
