id,order_id,product_id,last_product_quantity,created_at,updated_at
11,13256,750,1,2019-04-02 13:56:31,2019-04-02 13:56:31
12,13256,750,2,2019-04-02 13:58:48,2019-04-02 13:58:48
13,13256,750,1,2019-04-02 14:02:29,2019-04-02 14:02:29
14,13256,750,3,2019-04-03 08:06:17,2019-04-03 08:06:17
15,13256,750,1,2019-04-03 19:52:13,2019-04-03 19:52:13
16,13256,750,2,2019-04-03 19:57:23,2019-04-03 19:57:23
17,13256,750,3,2019-04-08 16:03:54,2019-04-08 16:03:54
20,14497,2498,1,2020-01-17 17:39:43,2020-01-17 17:39:43
21,14497,2500,1,2020-01-17 17:39:57,2020-01-17 17:39:57
22,15086,1710,1,2020-05-11 22:51:25,2020-05-11 22:51:25
23,15133,10299,2,2020-05-16 16:28:09,2020-05-16 16:28:09
24,15256,2166,1,2020-06-03 18:30:08,2020-06-03 18:30:08
25,15256,2166,4,2020-06-03 18:30:13,2020-06-03 18:30:13
26,15256,2166,4,2020-06-03 18:30:17,2020-06-03 18:30:17
27,15256,2166,4,2020-06-03 18:30:21,2020-06-03 18:30:21
28,15256,12478,2,2020-06-03 18:31:41,2020-06-03 18:31:41
30,15869,10480,1,2020-08-10 15:49:41,2020-08-10 15:49:41
39,16688,12192,2,2020-12-14 18:07:19,2020-12-14 18:07:19
41,16812,11380,2,2021-01-11 22:13:19,2021-01-11 22:13:19
44,17732,222,2,2021-06-11 15:20:30,2021-06-11 15:20:30
45,18500,12192,2,2021-07-27 09:44:06,2021-07-27 09:44:06
47,22680,644,1,2021-12-02 15:28:55,2021-12-02 15:28:55
49,23066,12352,2,2022-01-10 10:45:04,2022-01-10 10:45:04
50,23728,1912,2,2022-05-02 10:51:26,2022-05-02 10:51:26
51,23790,200,1,2022-05-06 07:16:12,2022-05-06 07:16:12
52,23790,318,4,2022-05-06 07:17:43,2022-05-06 07:17:43
53,23790,212,1,2022-05-06 07:20:14,2022-05-06 07:20:14
54,23790,12547,1,2022-05-06 07:44:34,2022-05-06 07:44:34
55,23790,12547,2,2022-05-06 07:44:53,2022-05-06 07:44:53
56,23790,1932,1,2022-05-06 07:51:56,2022-05-06 07:51:56
57,23790,1932,2,2022-05-06 07:52:48,2022-05-06 07:52:48
58,23790,12547,1,2022-05-06 08:12:09,2022-05-06 08:12:09
59,23790,12547,2,2022-05-06 08:14:29,2022-05-06 08:14:29
60,23790,12547,3,2022-05-06 08:26:52,2022-05-06 08:26:52
61,23846,984,1,2022-05-16 10:03:58,2022-05-16 10:03:58
65,24204,12734,1,2022-07-25 05:52:13,2022-07-25 05:52:13
66,25075,214,1,2023-03-13 06:23:27,2023-03-13 06:23:27
67,25075,214,2,2023-03-13 06:24:03,2023-03-13 06:24:03
68,25075,214,1,2023-03-13 06:26:15,2023-03-13 06:26:15
69,25075,214,2,2023-03-13 06:31:41,2023-03-13 06:31:41
70,25075,214,1,2023-03-13 06:32:30,2023-03-13 06:32:30
71,25075,214,2,2023-03-13 06:41:11,2023-03-13 06:41:11
72,25117,532,1,2023-03-15 08:52:12,2023-03-15 08:52:12
73,25117,532,2,2023-03-15 08:52:34,2023-03-15 08:52:34
74,25117,2504,1,2023-03-15 11:00:13,2023-03-15 11:00:13
83,25250,610,4,2023-04-19 05:15:24,2023-04-19 05:15:24
84,25250,610,3,2023-04-19 05:23:20,2023-04-19 05:23:20
85,25250,610,4,2023-04-19 05:23:39,2023-04-19 05:23:39
86,25250,610,3,2023-04-19 05:24:39,2023-04-19 05:24:39
87,25250,12792,2,2023-04-19 05:35:15,2023-04-19 05:35:15
88,25250,610,5,2023-04-19 05:44:31,2023-04-19 05:44:31
89,25250,12792,1,2023-04-19 05:44:49,2023-04-19 05:44:49
90,25281,12250,1,2023-04-20 04:54:53,2023-04-20 04:54:53
91,25281,12250,2,2023-04-20 04:56:13,2023-04-20 04:56:13
92,25281,12250,1,2023-04-20 04:58:13,2023-04-20 04:58:13
93,25281,12250,2,2023-04-20 04:58:29,2023-04-20 04:58:29
94,25281,12250,5,2023-04-20 04:58:47,2023-04-20 04:58:47
95,25281,12250,1,2023-04-20 05:04:58,2023-04-20 05:04:58
96,25281,12250,1,2023-04-20 05:06:54,2023-04-20 05:06:54
97,25281,12250,1,2023-04-20 05:36:27,2023-04-20 05:36:27
98,25281,12250,1,2023-04-20 05:39:32,2023-04-20 05:39:32
99,25281,12250,1,2023-04-20 05:39:58,2023-04-20 05:39:58
100,25281,12250,1,2023-04-20 05:41:21,2023-04-20 05:41:21
101,25281,12250,1,2023-04-20 05:41:57,2023-04-20 05:41:57
102,25281,12250,1,2023-04-20 05:43:35,2023-04-20 05:43:35
103,25281,12250,1,2023-04-20 05:45:00,2023-04-20 05:45:00
104,25281,12250,1,2023-04-20 07:16:35,2023-04-20 07:16:35
105,25281,12250,1,2023-04-20 07:17:11,2023-04-20 07:17:11
106,25281,12250,2,2023-04-20 07:17:55,2023-04-20 07:17:55
107,25281,12250,1,2023-04-25 04:19:52,2023-04-25 04:19:52
108,25281,12250,2,2023-04-25 04:20:17,2023-04-25 04:20:17
109,25281,12250,4,2023-04-25 04:20:38,2023-04-25 04:20:38
110,25281,12250,1,2023-04-25 04:23:27,2023-04-25 04:23:27
111,25281,12250,1,2023-04-25 04:24:21,2023-04-25 04:24:21
