id,order_id,product_id,product_quantity,product_price,paid_status,created_at,updated_at
1,4,1304,1,49.95,1,2014-11-17 16:29:00,2014-11-17 16:29:00
2,6,312,1,149.00,1,2014-11-20 21:36:27,2014-11-20 21:36:27
3,7,1570,3,11.70,1,2014-11-27 21:13:32,2014-11-27 21:13:32
4,7,2930,1,4.00,1,2014-11-27 21:13:32,2014-11-27 21:13:32
5,8,1688,1,5.95,1,2014-12-01 05:09:16,2014-12-01 05:09:16
6,9,1750,2,58.00,1,2014-12-01 06:40:11,2014-12-01 06:40:11
7,10,1194,1,850.00,1,2014-12-02 15:29:51,2014-12-02 15:29:51
8,10,3472,1,39.00,1,2014-12-02 15:29:51,2014-12-02 15:29:51
9,11,1286,1,9.00,1,2014-12-02 15:30:52,2014-12-02 15:30:52
10,11,1282,1,60.00,1,2014-12-02 15:30:52,2014-12-02 15:30:52
11,12,222,1,6.00,1,2014-12-03 00:52:29,2014-12-03 00:52:29
12,12,244,1,6.00,1,2014-12-03 00:52:29,2014-12-03 00:52:29
13,12,248,1,9.00,1,2014-12-03 00:52:29,2014-12-03 00:52:29
14,13,436,1,49.00,1,2014-12-05 20:13:19,2014-12-05 20:13:19
15,13,3060,1,18.00,1,2014-12-05 20:13:19,2014-12-05 20:13:19
16,14,2966,1,9.00,1,2014-12-08 18:08:48,2014-12-08 18:08:48
17,14,388,1,69.00,1,2014-12-08 18:08:48,2014-12-08 18:08:48
18,14,3356,1,49.00,1,2014-12-08 18:08:48,2014-12-08 18:08:48
19,14,1292,1,110.00,1,2014-12-08 18:08:48,2014-12-08 18:08:48
20,15,236,1,24.00,1,2014-12-07 21:02:00,2014-12-07 21:02:00
21,15,244,1,6.00,1,2014-12-07 21:02:00,2014-12-07 21:02:00
22,15,222,1,6.00,1,2014-12-07 21:02:00,2014-12-07 21:02:00
23,16,236,1,24.00,1,2014-12-08 04:29:00,2014-12-08 04:29:00
24,17,2996,1,9.00,1,2014-12-08 07:40:00,2014-12-08 07:40:00
25,18,398,1,9.00,1,2014-12-10 00:07:35,2014-12-10 00:07:35
26,19,2638,1,5.00,1,2014-12-12 22:47:00,2014-12-12 22:47:00
27,20,1986,1,20.00,1,2014-12-17 20:23:00,2014-12-17 20:23:00
28,21,222,1,6.00,1,2014-12-16 22:21:19,2014-12-16 22:21:19
29,21,236,1,24.00,1,2014-12-16 22:21:19,2014-12-16 22:21:19
30,21,226,1,19.95,1,2014-12-16 22:21:19,2014-12-16 22:21:19
31,21,244,1,6.00,1,2014-12-16 22:21:19,2014-12-16 22:21:19
32,21,248,1,9.00,1,2014-12-16 22:21:19,2014-12-16 22:21:19
33,21,234,1,120.00,1,2014-12-16 22:21:19,2014-12-16 22:21:19
34,21,246,1,125.00,1,2014-12-16 22:21:19,2014-12-16 22:21:19
35,22,3320,1,425.00,1,2014-12-17 18:45:03,2014-12-17 18:45:03
36,22,1708,1,14.00,1,2014-12-17 18:45:03,2014-12-17 18:45:03
37,22,1450,2,4.80,1,2014-12-17 18:45:03,2014-12-17 18:45:03
38,22,1448,2,3.40,1,2014-12-17 18:45:03,2014-12-17 18:45:03
39,23,1930,1,149.00,1,2014-12-18 17:22:00,2014-12-18 17:22:00
40,24,1900,1,46.00,1,2014-12-19 18:10:39,2014-12-19 18:10:39
41,25,2410,1,149.00,1,2014-12-22 18:09:47,2014-12-22 18:09:47
42,26,1884,1,6.00,1,2014-12-22 18:59:00,2014-12-22 18:59:00
43,26,1914,1,81.15,1,2014-12-22 18:59:00,2014-12-22 18:59:00
44,27,3440,1,49.00,1,2014-12-23 20:49:00,2014-12-23 20:49:00
45,28,2266,1,9.95,1,2014-12-29 17:27:00,2014-12-29 17:27:00
46,28,3408,1,29.00,1,2014-12-29 17:27:00,2014-12-29 17:27:00
47,29,340,1,75.00,1,2014-12-29 16:51:44,2014-12-29 16:51:44
