id,title,slug,description,footer_menu,page_title,page_keyword,page_description,created_at,updated_at
9,Home,home,"<h1 class=""c-title c-font-25 c-font-white c-font-uppercase c-font-bold"">WELCOME TO VANAGAIN!</h1>

<p class=""c-description c-font-17 c-font-white"">We are your source for VW Parts and Technical Help. Here at Vanagain, we are commited to supplying the best parts at competitive prices. We are mechanics who specialize in VW Vans so we actually understand the parts we sell and have experience we are happy to share with our customers.</p>

<p class=""c-description c-font-17 c-font-white"">Please subscribe to our newletter as it will allow you to keep up to the minute on all of the newest and latest Vanagon and Bus parts that are hitting the market.</p>",1,"A discount parts source for VWs specializing in Vanagons, Eurovans, and VW buses","A discount parts source for VWs specializing in Vanagons, Eurovans, and VW buses","A discount parts source for VWs specializing in Vanagons, Eurovans, and VW buses",2018-01-16 11:47:05,2023-03-01 00:15:04
10,ABOUT,about,"<p>First, to provide the best quality VW Parts available at reasonable prices.</p>

<p>Second, to provide top notch customer service.</p>

<p>We are mechanics that specialize in VW vans. This gives us the experience to know what parts you need to do the job from start to finish. Customers of Van-Again have someone to call if they need help. That&#39;s what we are here for</p>",1,ABOUT,ABOUT,ABOUT,2018-01-16 06:17:05,2021-12-23 12:13:20
11,Contact Us,contact,"<h3 class=""c-font-uppercase c-font-bold"">Contact Detail</h3>

<p class=""c-font-lowercase"">2001 Lakeshore Drive<br />
Millville NJ, 08332 USA</p>

<p class=""c-font-lowercase"">Toll free order line and fax: 888-250-8139</p>

<p class=""c-font-lowercase"">Phone: 856-327-4936</p>",1,Contact Us,Contact Us,Contact Us,2018-01-17 15:58:41,2018-01-17 15:58:41
12,Articles,articles,,1,Articles,Articles,Articles,2018-01-18 16:46:11,2018-01-18 16:46:11
13,Shop,shop,,2,Shop,Shop,Shop,2018-01-19 18:14:39,2018-01-19 18:14:39
14,Cart,cart,,2,Cart,Cart,Cart,2018-01-23 18:55:00,2018-01-23 18:55:00
15,Login,login,"<h2>Welcome to Vanagain!</h2>

<p>We are your source for VW Parts and Technical Help. Here at Vanagain, we are commited to supplying the best parts at competitive prices.</p>",2,Login,Login,Login,2018-01-25 11:48:11,2018-04-10 17:31:00
16,Register,register,"<h2>Welcome to Vanagain!</h2>

<p>We are your source for VW Parts and Technical Help. Here at Vanagain, we are commited to supplying the best parts at competitive prices.</p>",2,Register,Register,Register,2018-01-25 11:48:36,2018-04-10 17:32:45
17,Checkout,checkout,,2,Checkout,Checkout,Checkout,2018-01-25 12:02:33,2018-01-25 12:02:33
18,FAQ,faq,,1,FAQ,FAQ,FAQ,2018-03-27 10:09:53,2018-04-18 15:39:23
