Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
"Rebuilt Front Brake Caliper (right) (Girling) for 76-79 Bus, 80-85 Vanagon",front-brake-caliper-for-251615108ax,"<p>This is a rebuilt Passenger side (right) front brake caliper for early Vanagon. There is a $75 refundable core charge. The calipers are $99 and clips and pins are&nbsp; included.&nbsp;</p>

<p>If you look at the pictures you will see that on the Girling Calipers there is a large G embossed in the center of the body of the caliper.&nbsp; If you don&#39;t see this on your old one then most likely it is an ATE caliper which most of these vans had.&nbsp; Please confirm this before ordering.</p>

<p>&nbsp;</p>",VanAgain,Brakes,"68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon","68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, Brakes, product-id:200, orders:16, 68-79-bus, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon",TRUE,Active,251615108AX,,,,,,,,,,,174.00,,,TRUE,,,,,,shopify,73,DENY,12,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/front-brake-caliper-for-251615108ax-89131.jpg,1,"Rebuilt Front Brake Caliper (right) (Girling) for 76-79 Bus, 80-85 Vanagon",,FALSE,"Front Brake Caliper (right) (Girling) for 76-79 Bus, 80-85 Vanagon","Front Brake Caliper (right) (Girling) for 76-79 Bus, 80-85 Vanagon-68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon",,Brakes,,Adult,251615108AX,"68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon","Brakes, 68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, legacy-import",New,TRUE,Brakes,"68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon",has-image,from-products-table,
,front-brake-caliper-for-251615108ax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ph3ar-vercel.s3.amazonaws.com/products/front-brake-caliper-for-251615108ax-0-1530548781.jpg,2,"Rebuilt Front Brake Caliper (right) (Girling) for 76-79 Bus, 80-85 Vanagon",,,,,,,,,,,,,,,,,,
"Rebuilt Front Brake Caliper (right) (ATE) for 73-79 Bus, 80-85 Vanagon",front-brake-caliper-for-bus-vanagon,<p>This is a rebuilt front brake caliper for Passenger side (right) ATE. There is a refundable $70 core charge. The calipers are $99. Pins and clip included.&nbsp; These rebuilt units may or may not have the brake line relocated to the center of the caliper.&nbsp; It depends on what core they are getting back.&nbsp; Many times they are getting Brazil bus cores that they are rebuilding which will work but the brake line location is in the center of the caliper instead of to the side like they were in the Vanagon.&nbsp; We have new calipers that have no core and have the proper line location if you don&#39;t want to deal with modifications.</p>,VanAgain,Brakes,"68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon","68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, Brakes, product-id:202, orders:9, 68-79-bus, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon",TRUE,Active,251615108X,,,,,,,,,,,169.00,,,TRUE,,,,,,shopify,95,DENY,12,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/front-brake-caliper-for-bus-vanagon-19956.jpg,1,"Rebuilt Front Brake Caliper (right) (ATE) for 73-79 Bus, 80-85 Vanagon",,FALSE,"Front Brake Caliper (right) (ATE) for 73-79 Bus, 80-85 Vanagon","Front Brake Caliper (right) (ATE) for 73-79 Bus, 80-85 Vanagon-68-79 Bus",,Brakes,,Adult,251615108X,"68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon","Brakes, 68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, legacy-import",New,TRUE,Brakes,"68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon",has-image,from-products-table,
,front-brake-caliper-for-bus-vanagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ph3ar-vercel.s3.amazonaws.com/products/front-brake-caliper-for-bus-vanagon-0-1530549546.jpg,2,"Rebuilt Front Brake Caliper (right) (ATE) for 73-79 Bus, 80-85 Vanagon",,,,,,,,,,,,,,,,,,
Front Brake Caliper (left) for all 86-91 2wd Vanagon and most Syncro,front-brake-caliper-left,"<p>Left front brake caliper for any Vanagon between 86-91 that has girling calipers on it. $99 plus a $54 core charge. Comes with carrier and pins. All of the 86-91 2wd Vanagons and most of the Syncro Vanagons used the Girling Caliper. So if you have a 2wd Van this is definitely the correct one for you. If you have a Syncro, my advice would be to just replace these in pairs and if you find you have ATE calipers instead you are going to have to eat the core charge. No one has any late ATE calipers that I know of. They are interchangeable as long as you replace them in pairs you are good to go. If you have ATE calipers don&#39;t even bother returning them for the core charge. It just isn&#39;t going to happen.</p>",VanAgain,Brakes,86-92 2.1L Vanagon,"86-92 2.1L Vanagon, Brakes, product-id:204, orders:10, 86-92-21l-vanagon",FALSE,Draft,251615123DX,,,,,,,,,,,153.00,,,TRUE,,,,,,shopify,0,DENY,15,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/s_251615123d.jpg,1,Front Brake Caliper (left) for all 86-91 2wd Vanagon and most Syncro,,FALSE,Front Brake Caliper (left) for all 86-91 2wd Vanagon and most Syncro,Front Brake Caliper (left) for all 86-91 2wd Vanagon and most Syncro-86-92 2.1L Vanagon,,Brakes,,Adult,251615123DX,86-92 2.1L Vanagon,"Brakes, 86-92 2.1L Vanagon, legacy-import",New,TRUE,Brakes,86-92 2.1L Vanagon,has-image,from-products-table,
Front Brake Caliper (right) for all 2wd Vanagon 86-91 and most Syncro,front-brake-caliper-right,"<p>Right front brake caliper for any Vanagon between 86-91 that has girling calipers on it. $99 plus a $54 core charge. Comes with carrier and pins. All of the 86-91 2wd Vanagons and most of the Syncro Vanagons used the Girling Caliper. So if you have a 2wd Van this is definitely the correct one for you. If you have a Syncro, my advice would be to just replace these in pairs and if you find you have ATE calipers instead you are going to have to eat the core charge. No one has any late ATE calipers that I know of. They are interchangeable as long as you replace them in pairs you are good to go. If you have ATE calipers don&#39;t even bother returning them for the core charge. It just isn&#39;t going to happen.</p>",VanAgain,Brakes,86-92 2.1L Vanagon,"86-92 2.1L Vanagon, Brakes, product-id:206, orders:9, 86-92-21l-vanagon",FALSE,Draft,251615124DX,,,,,,,,,,,153.00,,,TRUE,,,,,,shopify,3,DENY,15,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/s_251615123d.jpg,1,Front Brake Caliper (right) for all 2wd Vanagon 86-91 and most Syncro,,FALSE,Front Brake Caliper (right) for all 2wd Vanagon 86-91 and most Syncro,Front Brake Caliper (right) for all 2wd Vanagon 86-91 and most Syncro-86-92 2.1L Vanagon,,Brakes,,Adult,251615124DX,86-92 2.1L Vanagon,"Brakes, 86-92 2.1L Vanagon, legacy-import",New,TRUE,Brakes,86-92 2.1L Vanagon,has-image,from-products-table,
Brake Pad Set (2wd and Syncro),brake-pad-set-2wd-and-syncro,Front Brake Pad Set for 86-92 2.1L Vanagon (does both sides),VanAgain,Brakes,86-92 2.1L Vanagon,"86-92 2.1L Vanagon, Brakes, product-id:210, orders:25, 86-92-21l-vanagon",TRUE,Active,251698151F,,,,,,,,,,,45.00,,,TRUE,,,,,,shopify,82,DENY,1,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/s_251698151f.jpg,1,Brake Pad Set (2wd and Syncro),,FALSE,Brake Pad Set (2wd and Syncro),Brake Pad Set (2wd and Syncro)-86-92 2.1L Vanagon,,Brakes,,Adult,251698151F,86-92 2.1L Vanagon,"Brakes, 86-92 2.1L Vanagon, legacy-import",New,TRUE,Brakes,86-92 2.1L Vanagon,has-image,from-products-table,
Caliper Repair Kit for 73-79 VW Bus and 80-85 Vanagon with ATE Caliper (most),caliper-repair-kit-251698471,"<p>Caliper Repair Kit for 73-79 VW Bus and 80-83 Air-Cooled, 82-84 Diesel, 83-85 1.9L Vanagon with ATE Caliper.&nbsp; Most of these vehicles had ATE calipers although some had Girling Calipers.&nbsp; This kit does one caliper so if you need both you will need to order two.&nbsp;&nbsp;</p>

<p>&nbsp;</p>",VanAgain,Brakes,"68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon","68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, Brakes, product-id:212, orders:18, 68-79-bus, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon",TRUE,Active,251698471,,,,,,,,,,,14.95,,,TRUE,,,,,,shopify,84,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/s_251698471a.jpg,1,Caliper Repair Kit for 73-79 VW Bus and 80-85 Vanagon with ATE Caliper (most),,FALSE,Caliper Repair Kit,"Caliper Repair Kit-80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon",,Brakes,,Adult,251698471,"68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon","Brakes, 68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, legacy-import",New,TRUE,Brakes,"68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon",has-image,from-products-table,
Vanagon Girling Caliper Repair Kit for all 86-92 2.1L Vanagons,vanagon-girling-caliper-repair-kit-for-vanagons,<p>One kit does both calipers.&nbsp; This is for the Girling Calipers that almost all 86-92 Vanagons used.&nbsp; There were a few Syncros that used ATE calipers so if you have a Syncro you might want to confirm what type of caliper you have.&nbsp; The ATE version has allen head bolts attaching them to the carrier and the Girling has normal hex head bolts holding it to the carrier.</p>,VanAgain,Brakes,86-92 2.1L Vanagon,"86-92 2.1L Vanagon, Brakes, product-id:214, orders:13, 86-92-21l-vanagon",TRUE,Active,251698471A,,,,,,,,,,,29.00,,,TRUE,,,,,,shopify,7,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/s_251698471a.jpg,1,Vanagon Girling Caliper Repair Kit for all 86-92 2.1L Vanagons,,FALSE,Vanagon Girling Caliper Repair Kit for all 86-92 2.1L Vanagons,Vanagon Girling Caliper Repair Kit for all 86-92 2.1L Vanagons-86-92 2.1L Vanagon,,Brakes,,Adult,251698471A,86-92 2.1L Vanagon,"Brakes, 86-92 2.1L Vanagon, legacy-import",New,TRUE,Brakes,86-92 2.1L Vanagon,has-image,from-products-table,
Rear Brake Shoe Set 80-91 Vanagon (ATE),rear-brake-shoe-set-80-91,"<p>Rear Brake Shoe set is ATE which is the best quality you can get. One set does both sides.</p>

<p>We also have a cheaper version available that works perfectly fine.&nbsp; The part number is&nbsp;251698531LX</p>",VanAgain,Brakes,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon","80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Brakes, product-id:216, orders:42, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon, 86-92-21l-vanagon",TRUE,Active,251698531L,,,,,,,,,,,69.00,,,TRUE,,,,,,shopify,95,DENY,7,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/s_251698531lx.jpg,1,Rear Brake Shoe Set 80-91 Vanagon (ATE),,FALSE,Rear Brake Shoe Set 80-91 Vanagon (ATE),"Rear Brake Shoe Set 80-91 Vanagon (ATE)-80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon",,Brakes,,Adult,251698531L,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon","Brakes, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, legacy-import",New,TRUE,Brakes,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon",has-image,from-products-table,
