Handle,Title,Tags,Option1 Name,Option1 Value
front-brake-caliper-for-251615108ax,"Rebuilt Front Brake Caliper (right) (Girling) for 76-79 Bus, 80-85 Vanagon","68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, Brakes, product-id:200, 68-79-bus, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon, brakes, vehicle:68-79-bus, vehicle:80-83-air-cooled-vanagon, vehicle:82-84-diesel-vanagon, vehicle:83-85-19l-vanagon, category:brakes",Title,Default Title
front-brake-caliper-for-bus-vanagon,"Rebuilt Front Brake Caliper (right) (ATE) for 73-79 Bus, 80-85 Vanagon","68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, Brakes, product-id:202, 68-79-bus, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon, brakes, vehicle:68-79-bus, vehicle:80-83-air-cooled-vanagon, vehicle:82-84-diesel-vanagon, vehicle:83-85-19l-vanagon, category:brakes",Title,Default Title
front-brake-caliper-left,Front Brake Caliper (left) for all 86-91 2wd Vanagon and most Syncro,"86-92 2.1L Vanagon, Brakes, product-id:204, 86-92-21l-vanagon, brakes, vehicle:86-92-21l-vanagon, category:brakes",Title,Default Title
front-brake-caliper-right,Front Brake Caliper (right) for all 2wd Vanagon 86-91 and most Syncro,"86-92 2.1L Vanagon, Brakes, product-id:206, 86-92-21l-vanagon, brakes, vehicle:86-92-21l-vanagon, category:brakes",Title,Default Title
brake-pad-set-2wd-and-syncro,Brake Pad Set (2wd and Syncro),"86-92 2.1L Vanagon, Brakes, product-id:210, 86-92-21l-vanagon, brakes, vehicle:86-92-21l-vanagon, category:brakes",Title,Default Title
caliper-repair-kit-251698471,Caliper Repair Kit for 73-79 VW Bus and 80-85 Vanagon with ATE Caliper (most),"68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, Brakes, product-id:212, 68-79-bus, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon, brakes, vehicle:68-79-bus, vehicle:80-83-air-cooled-vanagon, vehicle:82-84-diesel-vanagon, vehicle:83-85-19l-vanagon, category:brakes",Title,Default Title
vanagon-girling-caliper-repair-kit-for-vanagons,Vanagon Girling Caliper Repair Kit for all 86-92 2.1L Vanagons,"86-92 2.1L Vanagon, Brakes, product-id:214, 86-92-21l-vanagon, brakes, vehicle:86-92-21l-vanagon, category:brakes",Title,Default Title
rear-brake-shoe-set-80-91,Rear Brake Shoe Set 80-91 Vanagon (ATE),"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Brakes, product-id:216, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon, 86-92-21l-vanagon, brakes, vehicle:80-83-air-cooled-vanagon, vehicle:82-84-diesel-vanagon, vehicle:83-85-19l-vanagon, vehicle:86-92-21l-vanagon, category:brakes",Title,Default Title
rear-brake-spring-and-clip-kit-for-all-vanagon-80-92,Rear Brake Spring and Clip Kit for all Vanagon 80-92,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Brakes, product-id:218, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon, 86-92-21l-vanagon, brakes, vehicle:80-83-air-cooled-vanagon, vehicle:82-84-diesel-vanagon, vehicle:83-85-19l-vanagon, vehicle:86-92-21l-vanagon, category:brakes",Title,Default Title
cylinder-head-gasket-set-021198012c,Cylinder Head Gasket Set for 97-2000 VR6 Eurovan,"97-03 2.8L Eurovan, Engine Parts, product-id:220, 97-03-28l-eurovan, engine-parts, vehicle:97-03-28l-eurovan, category:engine-parts",Title,Default Title
bushing-for-universal-on-early-vanagon-shifter,Bushing for universal on early Vanagon shifter,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, Transmission & Drivetrain, product-id:222, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, transmission-drivetrain, vehicle:80-83-air-cooled-vanagon, vehicle:82-84-diesel-vanagon, category:transmission-drivetrain",Title,Default Title
